Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season
1,2022-04-07,boxscore,ARI,,SDP,W-wo,4,2,,1-0,1,up 0.5,Mantiply,Suarez,,0.1375,N,35508.0,0.98,+,,34,26,4,3,0,0,1,3,0,0,7,6,0.115,0.324,0.231,0.554,6,1,1,0,0,0,0,0.105,6,12,Yu Darvish,R,71,2022
2,2022-04-08,boxscore,ARI,,SDP,L,0,3,,44927,3,0.5,Manaea,Pérez,Rogers,0.1138888889,N,17297.0,1.06,-,,30,29,0,2,0,0,0,0,0,0,1,8,0.091,0.219,0.145,0.364,2,0,0,0,0,0,0,0.095,3,11,Sean Manaea,L,83,2022
3,2022-04-09,boxscore,ARI,,SDP,L,2,5,,44928,5,1,Wilson,Kennedy,Rogers,0.1194444444,N,19504.0,0.96,--,,33,31,2,5,2,0,1,2,0,0,2,10,0.116,0.216,0.209,0.426,10,1,0,0,0,0,0,0.2,4,10,Joe Musgrove,R,62,2022
4,2022-04-10,boxscore,ARI,,SDP,L,5,10,,44929,5,2,Adams,Smith,,0.1354166667,D,19089.0,0.93,---,,39,30,5,5,1,0,2,5,1,0,9,10,0.129,0.257,0.259,0.516,12,2,0,0,0,0,0,0.167,7,10,Nabil Crismatt,R,58,2022
5,2022-04-12,boxscore,ARI,,HOU,L,1,2,,44930,5,3,Neris,Melancon,Pressly,0.1388888889,N,17674.0,0.78,----,,36,30,1,4,1,0,1,1,0,0,5,7,0.13,0.257,0.26,0.518,8,0,0,1,0,0,0,0.136,8,13,Luis Garcia,R,57,2022
6,2022-04-13,boxscore,ARI,,HOU,W-wo,3,2,10.0,44961,5,2.5,Pérez,Pressly,,0.1597222222,D,12660.0,0.75,+,,47,33,3,6,0,0,0,3,2,0,9,13,0.14,0.286,0.246,0.532,6,0,3,1,1,1,0,0.286,17,13,Framber Valdez,L,49,2022
7,2022-04-15,boxscore,ARI,@,NYM,L,3,10,,44962,5,3,Bassitt,Davies,,0.1416666667,D,43820.0,0.79,-,,35,29,3,3,2,0,1,3,0,1,5,11,0.135,0.282,0.25,0.532,8,0,1,0,0,0,0,0.118,5,12,Chris Bassitt,R,68,2022
8,2022-04-16,boxscore,ARI,@,NYM,W,3,2,,44990,5,3,Poppen,Rodríguez,Melancon,0.1333333333,D,37935.0,0.77,+,,40,36,3,9,2,0,1,3,2,0,4,16,0.152,0.288,0.27,0.558,14,0,0,0,0,0,2,0.421,10,10,Carlos Carrasco,R,67,2022
9,2022-04-17,boxscore,ARI,@,NYM,L,0,5,,44991,5,4,Shreve,Ramirez,,0.1243055556,D,24515.0,0.8,-,,36,32,0,5,2,0,0,0,0,0,4,10,0.152,0.284,0.264,0.548,7,0,0,0,0,0,0,0.227,9,11,David Peterson,L,59,2022
10,2022-04-19,boxscore,ARI,@,WSN,L,1,6,,44992,5,5,Gray,Bumgarner,,0.1305555556,D,9261.0,0.75,--,,34,31,1,6,2,0,1,1,0,1,3,12,0.156,0.282,0.274,0.555,11,1,0,0,0,0,0,0.278,6,11,Josiah Gray,R,64,2022
