Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season
1,2022-04-08,boxscore,COL,,LAD,L,3,5,,0-1,5,1,Buehler,Freeland,Kimbrel,0.13125,D,48627.0,1.01,-,,38,35,3,7,4,0,0,3,0,0,3,12,0.2,0.263,0.314,0.577,11,0,0,0,0,1,0,0.304,8,9,Walker Buehler,R,54,2022.0
2,2022-04-09,boxscore,COL,,LAD,W,3,2,,44927,2,0.5,Estévez,Treinen,Bard,0.1166666667,N,48087.0,0.92,+,,34,32,3,8,1,0,1,3,0,0,1,10,0.224,0.278,0.343,0.621,12,0,1,0,0,0,0,0.333,7,10,Tony Gonsolin,R,47,2022.0
3,2022-04-10,boxscore,COL,,LAD,W,9,4,,44958,2,0.5,Chacín,Urías,Blach,0.1340277778,D,40825.0,1.01,++,,39,33,9,10,0,0,2,7,3,0,3,3,0.25,0.315,0.39,0.705,16,1,2,0,1,1,0,0.276,6,9,Julio Urías,L,24,2022.0
4,2022-04-11,boxscore,COL,@,TEX,W,6,4,10.0,44986,2,0.5,Bard,Holland,Goudeau,0.1673611111,D,35052.0,0.94,+++,,47,42,6,14,3,1,2,4,0,0,2,11,0.275,0.342,0.451,0.792,25,1,3,0,0,1,0,0.414,12,11,Taylor Hearn,L,47,2022.0
5,2022-04-12,boxscore,COL,@,TEX,W,4,1,,45017,1,up 0.5,Chacín,Pérez,Bard,0.13125,N,15862.0,0.97,++++,,38,31,4,7,3,0,0,4,0,0,3,7,0.266,0.338,0.428,0.766,10,2,2,1,1,0,0,0.28,7,11,Martín Pérez,L,37,2022.0
6,2022-04-14,boxscore,COL,,CHC,L,2,5,,45018,1,Tied,Thompson,Freeland,Givens,0.1263888889,N,24444.0,1.08,-,,41,37,2,10,1,0,0,2,0,0,4,7,0.267,0.339,0.405,0.744,11,1,0,0,0,0,0,0.333,12,9,Justin Steele,L,47,2022.0
7,2022-04-15,boxscore,COL,,CHC,W,6,5,,45048,1,Tied,Blach,Stroman,Bard,0.1430555556,N,35450.0,1.02,+,,36,34,6,11,4,0,2,6,0,1,2,9,0.275,0.342,0.434,0.776,21,0,0,0,0,0,0,0.391,6,9,Marcus Stroman,R,33,2022.0
8,2022-04-16,boxscore,COL,,CHC,W,9,6,,45079,1,Tied,Senzatela,Leiter,Bard,0.1236111111,N,37476.0,1.02,++,,38,33,9,11,1,1,2,9,0,0,4,6,0.282,0.348,0.455,0.803,20,1,0,0,1,0,0,0.346,5,10,Mark Leiter Jr.,R,22,2022.0
9,2022-04-17,boxscore,COL,,CHC,L,4,6,,45080,3,1,Wick,Gomber,Robertson,0.1381944444,D,36391.0,1.06,-,,39,34,4,9,2,0,1,4,0,0,4,9,0.28,0.347,0.45,0.797,14,1,0,0,1,0,0,0.32,8,11,Drew Smyly,L,59,2022.0
10,2022-04-18,boxscore,COL,,PHI,W,4,1,,45110,3,1,Kuhl,Nola,Colomé,0.1201388889,N,20403.0,0.98,+,,34,30,4,9,4,0,1,3,0,1,3,5,0.282,0.348,0.457,0.806,16,0,0,1,0,0,0,0.333,6,9,Aaron Nola,R,51,2022.0
11,2022-04-19,boxscore,COL,,PHI,W,6,5,,45141,1,Tied,Lawrence,Domínguez,Bard,0.1263888889,N,23800.0,1.05,++,,36,30,6,8,0,0,1,6,0,0,4,6,0.28,0.348,0.45,0.798,11,0,0,1,1,0,0,0.292,6,10,Kyle Gibson,R,49,2022.0
12,2022-04-20,boxscore,COL,,PHI,L,6,9,,45142,2,1,Hand,Chacín,Knebel,0.13125,D,21490.0,1.07,-,,41,37,6,11,4,0,0,6,0,0,2,9,0.282,0.347,0.446,0.793,15,1,1,0,1,1,0,0.379,8,10,Zach Eflin,R,46,2022.0
