Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season
1,2022-04-07,boxscore,HOU,@,LAA,W,3,1,,1-0,1,up 0.5,Valdez,Ohtani,Pressly,0.1354166667,N,44723.0,0.96,+,,38,35,3,8,4,0,2,3,1,0,3,10,0.229,0.289,0.514,0.804,18,0,0,0,0,0,1,0.261,8,9,Shohei Ohtani,R,60,2022
2,2022-04-08,boxscore,HOU,@,LAA,W,13,6,,2-0,1,up 0.5,Montero,Ortega,,0.1555555556,N,42719.0,1.06,++,,43,40,13,14,3,0,6,13,1,0,3,8,0.293,0.346,0.707,1.052,35,1,0,0,0,0,0,0.308,3,12,Reid Detmers,L,49,2022
3,2022-04-09,boxscore,HOU,@,LAA,L,0,2,,44958,2,0.5,Syndergaard,Verlander,Iglesias,0.1263888889,N,36139.0,1.09,-,,32,29,0,2,0,0,0,0,1,0,2,5,0.231,0.292,0.529,0.821,2,1,1,0,0,1,0,0.083,5,10,Noah Syndergaard,R,63,2022
4,2022-04-10,boxscore,HOU,@,LAA,W,4,1,,44986,1,up 0.5,Urquidy,Suarez,Pressly,0.1354166667,D,41253.0,1.05,+,,39,34,4,7,1,0,0,3,0,0,5,6,0.225,0.296,0.457,0.753,8,0,0,0,0,0,1,0.25,8,9,José Suarez,L,49,2022
5,2022-04-12,boxscore,HOU,@,ARI,W,2,1,,45017,1,up 1.5,Neris,Melancon,Pressly,0.1388888889,N,17674.0,1.0,++,,39,34,2,8,2,0,1,2,0,1,5,2,0.227,0.304,0.442,0.746,13,1,0,0,0,1,0,0.226,10,9,Madison Bumgarner,L,53,2022
6,2022-04-13,boxscore,HOU,@,ARI,L-wo,2,3,10.0,45018,1,up 1.0,Pérez,Pressly,,0.1597222222,D,12660.0,1.01,-,,40,34,2,6,0,0,0,2,1,0,4,8,0.218,0.294,0.398,0.692,6,1,0,0,2,0,1,0.214,9,11,Merrill Kelly,R,66,2022
7,2022-04-15,boxscore,HOU,@,SEA,L,1,11,,45019,1,up 0.5,Gonzales,Odorizzi,,0.1277777778,N,45023.0,1.11,--,,32,31,1,5,1,0,0,1,0,0,0,8,0.211,0.281,0.371,0.653,6,1,1,0,0,0,0,0.217,4,10,Marco Gonzales,L,71,2022
8,2022-04-16,boxscore,HOU,@,SEA,W,4,0,,45049,1,up 0.5,Verlander,Flexen,,0.1083333333,N,38504.0,1.1,+,,38,34,4,8,2,1,1,4,0,0,3,7,0.214,0.282,0.38,0.662,15,0,0,0,1,0,0,0.259,7,9,Chris Flexen,R,52,2022
9,2022-04-17,boxscore,HOU,@,SEA,L,2,7,,45050,2,0.5,Brash,Urquidy,,0.1222222222,D,26583.0,1.08,-,,35,27,2,4,1,0,1,2,0,1,7,10,0.208,0.289,0.372,0.661,8,3,1,0,0,0,0,0.188,6,9,Matt Brash,R,55,2022
10,2022-04-18,boxscore,HOU,,LAA,W,8,3,,45081,1,up 0.5,Garcia,Lorenzen,,0.1402777778,N,42646.0,1.09,+,,40,32,8,9,1,0,2,8,0,0,6,6,0.215,0.301,0.385,0.686,16,0,1,1,0,0,0,0.292,8,10,Michael Lorenzen,R,36,2022
11,2022-04-19,boxscore,HOU,,LAA,L,2,7,,45082,3,0.5,Ortega,Valdez,,0.15,N,30212.0,1.15,-,,37,33,2,6,2,0,1,2,0,1,3,6,0.212,0.297,0.38,0.677,11,0,0,0,0,1,0,0.192,8,10,Patrick Sandoval,L,55,2022
12,2022-04-20,boxscore,HOU,,LAA,L,0,6,,45083,4,1.5,Ohtani,Odorizzi,,0.1305555556,N,29049.0,1.05,--,,29,28,0,1,0,0,0,0,0,0,1,15,0.199,0.282,0.356,0.637,1,0,0,0,0,0,0,0.077,2,9,Shohei Ohtani,R,81,2022
13,2022-04-22,boxscore,HOU,,TOR,L,3,4,,45084,4,1.5,Mayza,Neris,Romano,0.1201388889,N,36757.0,1.01,---,,36,34,3,7,1,0,0,3,0,0,2,10,0.2,0.279,0.346,0.625,8,0,0,0,0,0,0,0.292,6,12,Ross Stripling,R,41,2022
14,2022-04-23,boxscore,HOU,,TOR,L,2,3,,45085,4,2.5,Manoah,Taylor,Cimber,0.1208333333,D,36075.0,0.96,----,,35,34,2,8,0,0,1,2,0,0,1,10,0.203,0.278,0.344,0.622,11,0,0,0,0,0,0,0.304,6,10,Alek Manoah,R,55,2022
15,2022-04-24,boxscore,HOU,,TOR,W-wo,8,7,10.0,45115,4,2.5,Taylor,Romano,,0.15625,D,39534.0,0.93,+,,44,38,8,11,5,0,2,7,0,0,5,10,0.209,0.285,0.362,0.647,22,1,0,1,0,1,0,0.346,9,10,Yusei Kikuchi,L,42,2022
