Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season
1,2022-04-08,boxscore,PHI,,OAK,W,9,5,,1-0,2.0,0.5,Nola,Montas,,0.1347222222,D,44232.0,0.89,+,,39,33,9,11,4,0,1,9,0,0,5,8,0.333,0.41,0.545,0.956,18,0,0,0,1,0.0,0,0.4,6,9.0,Frankie Montas,R,40.0,2022.0
1,2022-04-08 00:00:00,boxscore,PHI,,OAK,W,9,5,,1-0,2.0,0.5,Nola,Montas,,0.1347222222,D,44232.0,0.89,+,,39,33,9,11,4,0,1,9,0,0,5,8,0.333,0.41,0.545,0.956,18,0,0,0,1,0.0,0,0.4,6,9.0,Frankie Montas,R,40.0,2022.0
1,2022-04-08 00:00:00,boxscore,PHI,,OAK,W,9,5,,1-0,2.0,0.5,Nola,Montas,,0.1347222222,D,44232.0,0.89,+,,39,33,9,11,4,0,1,9,0,0,5,8,0.333,0.41,0.545,0.956,18,0,0,0,1,0.0,0,0.4,6,9.0,Frankie Montas,R,40.0,2022.0
2,2022-04-09,boxscore,PHI,,OAK,W,4,2,,2-0,2.0,0.5,Gibson,Irvin,Knebel,0.1090277778,D,41622.0,0.91,++,,34,29,4,7,2,0,3,4,0,0,4,7,0.29,0.384,0.581,0.964,18,1,1,0,0,0.0,0,0.211,6,10.0,Cole Irvin,L,41.0,2022.0
2,2022-04-09 00:00:00,boxscore,PHI,,OAK,W,4,2,,2-0,2.0,0.5,Gibson,Irvin,Knebel,0.1090277778,D,41622.0,0.91,++,,34,29,4,7,2,0,3,4,0,0,4,7,0.29,0.384,0.581,0.964,18,1,1,0,0,0.0,0,0.211,6,10.0,Cole Irvin,L,41.0,2022.0
2,2022-04-09 00:00:00,boxscore,PHI,,OAK,W,4,2,,2-0,2.0,0.5,Gibson,Irvin,Knebel,0.1090277778,D,41622.0,0.91,++,,34,29,4,7,2,0,3,4,0,0,4,7,0.29,0.384,0.581,0.964,18,1,1,0,0,0.0,0,0.211,6,10.0,Cole Irvin,L,41.0,2022.0
3,2022-04-10,boxscore,PHI,,OAK,L,1,4,,44958,2.0,0.5,Jefferies,Falter,,0.1229166667,D,33507.0,0.96,-,,32,29,1,3,0,0,1,1,0,0,3,7,0.231,0.324,0.462,0.785,6,1,0,0,0,0.0,0,0.095,4,10.0,Daulton Jefferies,R,63.0,2022.0
3,2022-04-10 00:00:00,boxscore,PHI,,OAK,L,1,4,,44958,2.0,0.5,Jefferies,Falter,,0.1229166667,D,33507.0,0.96,-,,32,29,1,3,0,0,1,1,0,0,3,7,0.231,0.324,0.462,0.785,6,1,0,0,0,0.0,0,0.095,4,10.0,Daulton Jefferies,R,63.0,2022.0
3,2022-04-10 00:00:00,boxscore,PHI,,OAK,L,1,4,,44958,2.0,0.5,Jefferies,Falter,,0.1229166667,D,33507.0,0.96,-,,32,29,1,3,0,0,1,1,0,0,3,7,0.231,0.324,0.462,0.785,6,1,0,0,0,0.0,0,0.095,4,10.0,Daulton Jefferies,R,63.0,2022.0
4,2022-04-11,boxscore,PHI,,NYM,W,5,4,,44986,1.0,up 0.5,Domínguez,Lugo,Hand,0.1284722222,N,22317.0,1.02,+,,34,30,5,8,3,0,1,5,0,0,4,9,0.24,0.331,0.463,0.794,14,1,0,0,0,0.0,0,0.35,5,11.0,Taijuan Walker,R,60.0,2022.0
4,2022-04-11 00:00:00,boxscore,PHI,,NYM,W,5,4,,44986,1.0,up 0.5,Domínguez,Lugo,Hand,0.1284722222,N,22317.0,1.02,+,,34,30,5,8,3,0,1,5,0,0,4,9,0.24,0.331,0.463,0.794,14,1,0,0,0,0.0,0,0.35,5,11.0,Taijuan Walker,R,60.0,2022.0
4,2022-04-11 00:00:00,boxscore,PHI,,NYM,W,5,4,,44986,1.0,up 0.5,Domínguez,Lugo,Hand,0.1284722222,N,22317.0,1.02,+,,34,30,5,8,3,0,1,5,0,0,4,9,0.24,0.331,0.463,0.794,14,1,0,0,0,0.0,0,0.35,5,11.0,Taijuan Walker,R,60.0,2022.0
5,2022-04-12,boxscore,PHI,,NYM,L,0,2,,44987,2.0,0.5,Megill,Wheeler,Díaz,0.1333333333,N,26045.0,1.07,-,,32,31,0,6,2,0,0,0,0,0,0,12,0.23,0.306,0.421,0.727,8,1,0,1,0,0.0,0,0.316,5,11.0,Tylor Megill,R,67.0,2022.0
5,2022-04-12 00:00:00,boxscore,PHI,,NYM,L,0,2,,44987,2.0,0.5,Megill,Wheeler,Díaz,0.1333333333,N,26045.0,1.07,-,,32,31,0,6,2,0,0,0,0,0,0,12,0.23,0.306,0.421,0.727,8,1,0,1,0,0.0,0,0.316,5,11.0,Tylor Megill,R,67.0,2022.0
5,2022-04-12 00:00:00,boxscore,PHI,,NYM,L,0,2,,44987,2.0,0.5,Megill,Wheeler,Díaz,0.1333333333,N,26045.0,1.07,-,,32,31,0,6,2,0,0,0,0,0,0,12,0.23,0.306,0.421,0.727,8,1,0,1,0,0.0,0,0.316,5,11.0,Tylor Megill,R,67.0,2022.0
6,2022-04-13,boxscore,PHI,,NYM,L,6,9,,44988,2.0,1.5,Scherzer,Nola,,0.1694444444,D,31190.0,1.01,--,,42,34,6,9,2,0,1,6,0,0,6,11,0.237,0.321,0.419,0.74,14,0,1,0,1,0.0,0,0.348,9,12.0,Max Scherzer,R,57.0,2022.0
6,2022-04-13 00:00:00,boxscore,PHI,,NYM,L,6,9,,44988,2.0,1.5,Scherzer,Nola,,0.1694444444,D,31190.0,1.01,--,,42,34,6,9,2,0,1,6,0,0,6,11,0.237,0.321,0.419,0.74,14,0,1,0,1,0.0,0,0.348,9,12.0,Max Scherzer,R,57.0,2022.0
6,2022-04-13 00:00:00,boxscore,PHI,,NYM,L,6,9,,44988,2.0,1.5,Scherzer,Nola,,0.1694444444,D,31190.0,1.01,--,,42,34,6,9,2,0,1,6,0,0,6,11,0.237,0.321,0.419,0.74,14,0,1,0,1,0.0,0,0.348,9,12.0,Max Scherzer,R,57.0,2022.0
7,2022-04-14,boxscore,PHI,@,MIA,L,3,4,,44989,2.0,2,Alcantara,Gibson,Bender,0.1409722222,N,31184.0,0.97,---,,39,35,3,11,3,0,0,3,1,0,2,6,0.249,0.327,0.416,0.743,14,2,1,0,1,0.0,0,0.367,9,11.0,Sandy Alcantara,R,55.0,2022.0
7,2022-04-14 00:00:00,boxscore,PHI,@,MIA,L,3,4,,44989,2.0,2,Alcantara,Gibson,Bender,0.1409722222,N,31184.0,0.97,---,,39,35,3,11,3,0,0,3,1,0,2,6,0.249,0.327,0.416,0.743,14,2,1,0,1,0.0,0,0.367,9,11.0,Sandy Alcantara,R,55.0,2022.0
7,2022-04-14 00:00:00,boxscore,PHI,@,MIA,L,3,4,,44989,2.0,2,Alcantara,Gibson,Bender,0.1409722222,N,31184.0,0.97,---,,39,35,3,11,3,0,0,3,1,0,2,6,0.249,0.327,0.416,0.743,14,2,1,0,1,0.0,0,0.367,9,11.0,Sandy Alcantara,R,55.0,2022.0
8,2022-04-15,boxscore,PHI,@,MIA,L,1,7,,44990,5.0,3,López,Eflin,,0.1354166667,N,11990.0,0.94,----,,37,34,1,8,3,0,1,1,0,0,3,6,0.247,0.323,0.416,0.739,14,1,0,0,0,0.0,0,0.259,9,11.0,Pablo López,R,60.0,2022.0
8,2022-04-15 00:00:00,boxscore,PHI,@,MIA,L,1,7,,44990,5.0,3,López,Eflin,,0.1354166667,N,11990.0,0.94,----,,37,34,1,8,3,0,1,1,0,0,3,6,0.247,0.323,0.416,0.739,14,1,0,0,0,0.0,0,0.259,9,11.0,Pablo López,R,60.0,2022.0
